codigo_estacion,periodo_mensual,precipitacion
0023085260,2015-01,1.9000000000000001
0023085260,2015-02,17.4
0023085260,2015-03,1.4000000000000001
0023085260,2015-04,2.4
0023085260,2015-05,15.4
0023085260,2015-06,6.8
0023085260,2015-07,19.6
0023085260,2015-10,6.1
0023085260,2015-11,5.8
0023085260,2015-12,1.0
0023085260,2016-01,0.8
0023085260,2016-02,4.300000000000001
0023085260,2016-03,1.6
0023085260,2016-05,3.6
0023085260,2016-06,2.1
0023085260,2017-02,2.5
0023085260,2017-03,8.5
0023085260,2017-04,0.6000000000000001
0023085260,2017-05,0.4
0023085260,2017-07,0.1
0023085260,2017-11,0.5
0023085260,2017-12,3.5
0023085260,2018-01,6.9
0023085260,2018-02,10.8
0023085260,2018-03,0.5
0023085260,2018-04,0.5
0023085260,2018-12,0.4
0023085260,2019-01,4.3
0023085260,2019-02,5.0
0023085260,2019-03,12.0
0023085260,2019-04,9.4
0023085260,2019-05,0.1
0023085260,2019-07,0.4
0023085260,2019-08,0.2
0023085270,2014-07,0.67
0023085270,2014-08,0.39
0023085270,2014-09,1.17
0023085270,2014-10,0.23
0023085270,2014-11,0.18
0023085270,2014-12,0.15
0023085270,2015-01,0.19
0023085270,2015-02,0.37
0023085270,2015-03,0.56
0023085270,2015-04,0.54
0023085270,2015-05,12.969999999999999
0023085270,2015-06,3.1
0023085270,2015-07,8.89
0023085270,2015-08,7.03
0023085270,2015-09,7.44
0023085270,2015-10,9.42
0023085270,2015-12,2.4499999999999997
0023085270,2016-01,1.1600000000000001
0023085270,2016-02,6.4
0023085270,2016-03,1.48
0023085270,2016-04,7.529999999999999
0023085270,2016-05,24.44
0023085270,2016-06,5.18
0023085270,2016-07,10.77
0023085270,2017-04,8.035
0023085270,2017-05,17.79
0023085270,2017-06,13.997
0023085270,2017-07,3.415
0023085270,2017-08,7.9750000000000005
0023085270,2017-09,15.908999999999999
0023085270,2017-10,10.433
0023085270,2017-11,14.766
0023085270,2017-12,16.962
0023085270,2018-01,8.895
0023085270,2018-02,6.349
0023085270,2018-03,3.73
0023085270,2018-04,18.735
0023085270,2018-05,15.077
0023085270,2018-06,12.876
0023085270,2018-07,4.237
0023085270,2018-08,10.091
0023085270,2018-09,32.28
0023085270,2018-10,16.291
0023085270,2018-11,11.355
0023085270,2018-12,0.775
0023085270,2019-01,4.289
0023085270,2019-02,4.669
0023085270,2019-03,8.513
0023085501,2016-06,12.700000000000001
0023085501,2016-07,15.4
0023085501,2016-08,1.1
0023085501,2017-10,27.0
0023085501,2017-11,46.7
0023085501,2017-12,17.0
0023085501,2018-01,34.0
0023085501,2018-02,15.700000000000001
0023085501,2018-03,31.8
0023085501,2018-04,41.2
0023085501,2018-05,41.4
0023085501,2018-06,18.2
0023085501,2018-07,15.5
0023085501,2018-08,29.5
0023085501,2018-09,29.2
0023085501,2018-10,23.8
0023085501,2018-11,34.5
0023085501,2018-12,6.3
0023085501,2019-01,38.3
0023085501,2019-02,10.0
0023085501,2019-03,43.0
0023085501,2019-04,29.900000000000002
0023085501,2019-05,35.9
0023085501,2019-06,11.799999999999999
0023085501,2019-07,28.6
0023085501,2019-08,0.6000000000000001
0023087150,2018-12,4.2
0023087150,2019-01,9.4
0023087150,2019-02,6.4
0023087150,2019-03,3.2
0023087150,2019-04,46.8
0023087150,2019-05,29.400000000000002
0023087150,2019-06,5.6000000000000005
0023087150,2019-07,12.0
0023087150,2019-08,2.2
0023087160,2019-03,6.200000000000001
0023087160,2019-04,6.6000000000000005
0023087160,2019-05,15.6
0023087160,2019-08,0.4
0023087190,2019-08,1.2
0023087210,2007-06,2.3
0023087210,2007-08,26.7
0023087210,2007-09,13.299999999999999
0023087210,2007-10,15.9
0023087210,2008-02,2.7
0023087210,2010-03,2.2
0023087210,2010-04,22.8
0023087210,2010-05,8.0
0023087210,2010-06,5.7
0023087210,2010-07,25.4
0023087210,2010-08,19.6
0023087210,2010-09,12.1
0023087210,2010-10,15.8
0023087210,2010-11,32.2
0023087210,2010-12,8.9
0023087210,2011-01,4.4
0023087210,2011-02,20.3
0023087210,2011-11,21.400000000000002
0023087210,2011-12,9.3
0023087210,2012-01,6.9
0023087210,2012-02,38.9
0023087210,2012-03,6.9
0023087210,2012-04,4.2
0023087210,2012-05,22.1
0023087210,2012-06,12.200000000000001
0023087210,2012-07,1.8
0023087210,2012-10,0.1
0023087210,2012-11,0.2
0023087210,2013-06,18.0
0023087210,2013-07,11.100000000000001
0023087210,2013-08,39.199999999999996
0023087210,2013-09,16.7
0023087210,2014-07,8.3
0023087210,2014-11,21.6
0023087210,2015-07,1.3
0023087210,2015-08,0.1
0023087210,2015-09,0.1
0023087210,2015-10,19.0
0023087210,2015-11,5.300000000000001
0023087210,2015-12,2.4
0023087210,2016-01,0.9
0023087210,2016-02,2.0
0023087210,2016-03,25.1
0023087210,2016-04,2.4
0023087210,2016-05,20.799999999999997
0023087210,2016-06,17.7
0023087210,2016-07,22.9
0023087210,2016-08,15.5
0023087210,2016-09,5.9
0023087210,2016-10,0.1
0023087210,2016-12,1.4000000000000001
0023087210,2017-04,0.2
0023087210,2017-05,6.3
0023087210,2017-06,19.9
0023087210,2017-07,6.2
0023087210,2017-08,5.3
0023087210,2017-09,36.0
0023087210,2017-10,4.4
0023087210,2017-11,9.5
0023087210,2017-12,16.799999999999997
0023087210,2018-10,5.9
0023087210,2018-11,19.200000000000003
0023087210,2018-12,3.3
0023087210,2019-01,2.0
0023087210,2019-03,4.5
0023087210,2019-04,3.7
0023087210,2019-06,0.2
0023087210,2019-07,7.6
0023087210,2019-08,0.6000000000000001
0023087230,2019-03,11.4
0023087230,2019-04,22.8
0023087230,2019-05,19.8
0023087230,2019-06,41.4
0023087230,2019-07,7.2
0023087230,2019-08,0.2
0023087660,2019-03,6.6
0023087660,2019-04,23.2
0023087660,2019-05,20.2
0023087660,2019-06,2.4
0023087660,2019-07,1.2000000000000002
0023087660,2019-08,0.2
0023097030,2017-02,11.2
0023097030,2017-03,12.5
0023097030,2017-04,60.9
0023097030,2017-05,26.9
0023097030,2017-06,9.0
0023097030,2017-07,0.7000000000000001
0023097030,2018-03,23.3
0023097030,2018-04,12.2
0023097030,2018-07,12.0
0023097030,2018-08,7.2
0023097030,2018-09,25.6
0023097030,2018-10,8.4
0023097030,2018-11,15.0
0023097030,2018-12,6.4
0023097030,2019-01,2.2
0023097030,2019-02,9.6
0023097030,2019-03,13.2
0023097030,2019-04,0.2
0023105060,2006-05,9.200000000000001
0023105060,2006-06,21.1
0023105060,2006-07,2.9
0023105060,2006-08,15.2
0023105060,2006-09,9.9
0023105060,2006-10,13.5
0023105060,2006-11,5.300000000000001
0023105060,2006-12,8.0
0023105060,2007-01,0.4
0023105060,2007-03,27.7
0023105060,2007-04,9.3
0023105060,2007-05,14.9
0023105060,2007-06,23.3
0023105060,2007-07,10.9
0023105060,2007-08,27.3
0023105060,2007-09,16.7
0023105060,2007-10,57.300000000000004
0023105060,2007-11,21.4
0023105060,2007-12,1.0
0023105060,2008-01,3.6999999999999997
0023105060,2008-02,3.1999999999999997
0023105060,2008-03,6.2
0023105060,2008-04,6.2
0023105060,2008-05,8.1
0023105060,2008-06,15.4
0023105060,2008-07,25.400000000000002
0023105060,2008-08,5.5
0023105060,2008-09,15.200000000000001
0023105060,2008-10,25.7
0023105060,2008-11,24.9
0023105060,2008-12,2.7
0023105060,2009-01,6.1000000000000005
0023105060,2009-02,6.6
0023105060,2009-03,15.3
0023105060,2009-05,7.8
0023105060,2009-06,11.700000000000001
0023105060,2009-07,15.3
0023105060,2009-08,20.299999999999997
0023105060,2009-09,16.0
0023105060,2009-10,5.4
0023105060,2009-11,2.5
0023105060,2010-02,0.2
0023105060,2010-03,4.9
0023105060,2010-04,26.799999999999997
0023105060,2010-05,25.900000000000002
0023105060,2010-06,23.999999999999996
0023105060,2010-07,33.9
0023105060,2010-08,23.1
0023105060,2010-09,14.4
0023105060,2012-07,6.4
0023105060,2012-08,12.1
0023105060,2014-07,3.5
0023105060,2014-08,7.300000000000001
0023105060,2015-06,4.2
0023105060,2015-07,10.6
0023105060,2015-08,7.5
0023105060,2015-09,21.900000000000002
0023105060,2015-10,12.3
0023105060,2015-11,34.7
0023105060,2015-12,0.9
0023105060,2016-01,2.6000000000000005
0023105060,2016-02,7.4
0023105060,2016-03,11.3
0023105060,2016-04,7.4
0023105060,2016-05,7.8
0023105060,2016-06,4.5
0023105060,2016-07,9.8
0023105060,2016-08,0.4
0023105060,2016-09,27.400000000000002
0023105060,2016-10,13.1
0023105060,2016-11,10.3
0023105060,2016-12,5.1
0023105060,2017-01,21.3
0023105070,2006-05,10.0
0023105070,2006-06,15.0
0023105070,2006-07,1.2000000000000002
0023105070,2006-08,0.1
0023105070,2006-11,4.7
0023105070,2006-12,12.2
0023105070,2007-01,2.2
0023105070,2007-02,0.9
0023105070,2007-03,31.2
0023105070,2007-04,7.1
0023105070,2007-05,1.5
0023105070,2007-06,0.1
0023105070,2007-08,29.1
0023105070,2007-09,8.8
0023105070,2007-10,5.3
0023105070,2008-03,11.2
0023105070,2008-04,16.0
0023105070,2008-05,2.9000000000000004
0023105070,2008-06,0.1
0023105070,2008-08,12.3
0023105070,2008-09,5.5
0023105070,2008-10,32.4
0023105070,2008-11,11.1
0023105070,2008-12,0.7000000000000001
0023105070,2009-01,4.8
0023105070,2009-02,2.7
0023105070,2009-03,4.7
0023105070,2009-04,0.7
0023105070,2009-05,4.6
0023105070,2009-08,17.7
0023105070,2009-09,9.700000000000001
0023105070,2009-10,15.1
0023105070,2009-11,0.6
0023105070,2010-02,3.4000000000000004
0023105070,2010-03,10.4
0023105070,2010-04,6.0
0023105070,2010-05,17.400000000000002
0023105070,2010-06,18.5
0023105070,2010-07,12.4
0023105070,2010-08,8.7
0023105070,2010-09,34.1
0023105070,2010-10,12.0
0023105070,2010-11,27.900000000000002
0023105070,2010-12,3.8000000000000003
0023105070,2011-01,1.9000000000000001
