id_estacion;nom_est;longitud;latitud;altitud;et_mmy;departamento;municipio;ah;zszh;vereda;subregion;depto_region;corriente
13070340;PALMA DE VINO [13070340];-75,80000242;8,733333482;9;1592;Cordoba;Monteria;Caribe;BajoSinu;EL CERRITO;;Cordoba - ;
13075050;UNIV DE CORDOBA [13075050];-75,8615316;8,793889392;14;1590;Cordoba;Monteria;Caribe;BajoSinu;;;Cordoba - ;
13075060;MONTERIA [13075060];-75,88333431;8,749998022;18;1589;Cordoba;Monteria;Caribe;BajoSinu;;;Cordoba - ;
23205040;MORALES-LA CRUZ [23205040];-73,86666501;8,283332418;40;1582;Bolivar;Morales;MagdalenaCauca;DirectosalMagdalena(BrazoMorales);VEREDAS DE LA CABECERA;;Bolivar - ;
21250050;ALTO DEL OSO [21250050];-75,2500002;4,850001526;3559;782;Tolima;Murillo;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;ALFOMBRALES;;Tolima - ;
21250480;SANTA BARBARA [21250480];-75,22019129;4,906613263;3315;821;Tolima;Murillo;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;SANTA BARBARA;;Tolima - ;
21255170;MURILLO - AUT [21255170];-75,17327881;4,870556202;2994;876;Tolima;Murillo;MagdalenaCauca;RioLagunillayOtrosDirectosalMagdalena;;;Tolima - ;
11100030;MURINDO [11100030];-76,75000316;7,000000781;25;1587;Antioquia;Murindo;Caribe;DarienRioMurindoDirectosalAtrato;CANAL;URABA;Antioquia - Urabá;
11105010;MURINDO [11105010];-76,74999942;6,966668634;15;1590;Antioquia;Murindo;Caribe;DarienRioMurindoDirectosalAtrato;MURINDO VIEJO;URABA;Antioquia - Urabá;
12010150;VILLA ARTEAGA [12010150];-76,61666748;7,449996081;27;1586;Antioquia;Mutata;Caribe;LitoralRioLeon;MONTERIA LEON;URABA;Antioquia - Urabá;
12015010;VILLARTEAGA [12015010];-76,48602917;7,334662592;144;1549;Antioquia;Mutata;Caribe;LitoralRioLeon;CAUCHERAS;URABA;Antioquia - Urabá;
23120050;MUZO [23120050];-74,10122611;5,534804343;847;1346;Boyaca;Muzo;MagdalenaCauca;RioCarare(Minero);;;Boyaca - ;
25020310;NECHI [25020310];-74,83333519;8,100003523;32;1584;Antioquia;Nechi;MagdalenaCauca;CaucaSanJorgeLaMojana;CAÑO PESCADO;Bajo Cauca;Antioquia - Bajo Cauca;
25020540;PATIO BONITO [25020540];-74,70610731;8,031115011;36;1583;Antioquia;Nechi;MagdalenaCauca;BajoNechi(md);LA TRINIDAD;Bajo Cauca;Antioquia - Bajo Cauca;
25021480;ESPERANZA LA RADIO [25021480];-74,78999813;8,02999872;41;1582;Antioquia;Nechi;MagdalenaCauca;DirectosalBajoNechi(mi);HOYO GRANDE;Bajo Cauca;Antioquia - Bajo Cauca;
25025140;NECHI [25025140];-74,76666284;8,099999257;63;1575;Antioquia;Nechi;MagdalenaCauca;BajoNechi(md);SANTA MARIA;Bajo Cauca;Antioquia - Bajo Cauca;
27030040;GUAMO EL [27030040];-74,81400044;7,904415075;35;1583;Antioquia;Nechi;MagdalenaCauca;DirectosalBajoNechi(mi);EL GUAMO;Bajo Cauca;Antioquia - Bajo Cauca;
