dpnom;año;area_geografica;sexo;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Nacional;1960;Cabecera;total;258367;244176;235838;228223;220786;213606;206623;199972;193482;187395;181914;177018;172471;168093;164212;160730;157544;154615;151954;149571;147249;144972;142585;139971;137367;134766;132367;129320;125146;120350;115550;110763;105844;101032;96283;91600;87044;82791;79009;75491;72010;68588;65855;63356;60983;58838;57114;55057;52318;49682;47528;45820;44421;44511;42782;41067;39343;37855;36153;34423;32672;30950;29225;27524;25840;24195;22536;20918;19361;17852;16372;14948;13565;12188;10863;10053;8466;7517;6613;5774;5004;4301;3630;2989;2403;1899;1485;1162;921;747;621;536;476;431;398;323;246;179;131;85;144
Nacional;1960;Centros Poblados y Rural Disperso;total;420798;392547;375422;360219;346066;332900;320648;308907;297833;286931;277613;267311;257078;246726;236258;225647;214850;203999;193157;182880;173832;165529;158385;152513;147852;143383;139743;136010;131866;127398;123413;119656;115729;111294;106576;101994;97387;93457;90540;88175;85844;83619;81844;79769;77506;75494;73932;71799;68469;65112;61832;59130;57080;57169;55273;53252;51361;49747;47880;45977;44088;42217;40342;38468;36598;34685;32780;30795;28707;26573;24475;22383;20348;18408;16514;15351;13053;11635;10298;9022;7861;6782;5744;4745;3828;3027;2372;1858;1470;1186;986;843;746;673;628;496;381;274;181;117;151
Nacional;1960;Total;total;679165;636723;611260;588442;566852;546506;527271;508879;491315;474326;459527;444329;429549;414819;400470;386377;372394;358614;345111;332451;321081;310501;300970;292484;285219;278149;272110;265330;257012;247748;238963;230419;221573;212326;202859;193594;184431;176248;169549;163666;157854;152207;147699;143125;138489;134332;131046;126856;120787;114794;109360;104950;101501;101680;98055;94319;90704;87602;84033;80400;76760;73167;69567;65992;62438;58880;55316;51713;48068;44425;40847;37331;33913;30596;27377;25404;21519;19152;16911;14796;12865;11083;9374;7734;6231;4926;3857;3020;2391;1933;1607;1379;1222;1104;1026;819;627;453;312;202;295
Nacional;1961;Cabecera;total;269701;255796;247403;239756;232213;224708;217361;210402;203580;197234;190985;186130;181350;176890;172766;169113;165829;162763;159940;157106;154138;151412;148435;145241;141971;139112;136143;133401;129943;125594;120532;115593;110788;106140;101464;96659;92026;87272;82754;78808;75258;71724;68422;65919;63535;61131;58979;57288;55355;52640;50200;47992;46116;44526;44445;42752;40995;39260;37783;36065;34293;32513;30738;28966;27215;25518;23802;22126;20514;18948;17393;15902;14449;13005;11616;10278;9490;7889;6947;6075;5253;4515;3842;3207;2609;2076;1619;1251;966;757;606;499;424;370;328;305;240;182;139;94;171
Nacional;1961;Centros Poblados y Rural Disperso;total;424917;397808;380972;366053;352073;338749;326276;314378;303108;292116;281536;271738;261330;250978;240280;229478;218566;207535;196444;185625;175796;167021;159295;152866;147592;143136;139001;135676;132386;128529;124449;120718;117096;113015;108563;104021;99502;95204;91633;88943;86674;84452;82156;80173;78005;75779;73776;72165;69902;66555;63006;59786;57234;55358;55546;53677;51729;49891;48342;46525;44688;42829;40986;39123;37262;35366;33477;31512;29447;27327;25204;23085;21002;19016;17081;15206;14105;11818;10474;9193;7993;6897;5888;4932;4029;3209;2507;1940;1498;1169;932;760;642;560;500;453;358;270;186;128;170
Nacional;1961;Total;total;694618;653604;628375;605809;584286;563457;543637;524780;506688;489350;472521;457868;442680;427868;413046;398591;384395;370298;356384;342731;329934;318433;307730;298107;289563;282248;275144;269077;262329;254123;244981;236311;227884;219155;210027;200680;191528;182476;174387;167751;161932;156176;150578;146092;141540;136910;132755;129453;125257;119195;113206;107778;103350;99884;99991;96429;92724;89151;86125;82590;78981;75342;71724;68089;64477;60884;57279;53638;49961;46275;42597;38987;35451;32021;28697;25484;23595;19707;17421;15268;13246;11412;9730;8139;6638;5285;4126;3191;2464;1926;1538;1259;1066;930;828;758;598;452;325;222;341
Nacional;1962;Cabecera;total;281292;267935;259647;252002;244428;236810;229117;221775;214618;207921;201389;195725;191022;186320;182112;178207;174746;171574;168602;165585;162119;158699;155232;151403;147517;143971;140731;137400;134242;130608;125988;120774;115813;111282;106771;102033;97273;92428;87389;82697;78711;75102;71686;68618;66225;63807;61390;59269;57703;55797;53282;50779;48393;46308;44542;44456;42731;40959;39211;37734;35974;34173;32339;30514;28694;26929;25161;23424;21751;20130;18515;16948;15426;13907;12449;11044;9693;8944;7312;6401;5543;4754;4048;3406;2810;2263;1777;1368;1045;798;617;489;396;332;284;255;228;180;142;101;198
Nacional;1962;Centros Poblados y Rural Disperso;total;427144;401634;385375;370840;357181;344062;331466;319366;307957;296771;286115;275032;265169;254650;243945;232919;221816;210672;199405;188357;178031;168522;160368;153405;147614;142575;138463;134666;131787;128776;125312;121502;117914;114135;110035;105762;101291;97099;93184;89864;87280;85129;82838;80348;78266;76137;73928;71892;70136;67832;64287;60811;57774;55414;53699;53811;52034;50137;48347;46867;45119;43320;41501;39677;37835;35957;34095;32148;30103;28009;25905;23767;21659;19634;17658;15749;13912;12868;10634;9345;8142;7010;5987;5054;4187;3376;2658;2051;1566;1192;918;721;581;484;417;362;328;255;183;132;190
Nacional;1962;Total;total;708436;669569;645022;622842;601609;580872;560583;541141;522575;504692;487504;470757;456191;440970;426057;411126;396562;382246;368007;353942;340150;327221;315600;304808;295131;286546;279194;272066;266029;259384;251300;242276;233727;225417;216806;207795;198564;189527;180573;172561;165991;160231;154524;148966;144491;139944;135318;131161;127839;123629;117569;111590;106167;101722;98241;98267;94765;91096;87558;84601;81093;77493;73840;70191;66529;62886;59256;55572;51854;48139;44420;40715;37085;33541;30107;26793;23605;21812;17946;15746;13685;11764;10035;8460;6997;5639;4435;3419;2611;1990;1535;1210;977;816;701;617;556;435;325;233;388
Nacional;1963;Cabecera;total;293182;280337;272417;264939;257384;249721;241897;234194;226626;219577;212665;206723;201152;196563;192108;188116;184394;181032;177946;174755;171066;167108;162892;158528;153971;149782;145832;142217;138454;135118;131211;126437;121194;116507;112114;107537;102841;97856;92708;87482;82740;78686;75195;72017;69057;66622;64187;61795;59798;58259;56567;53981;51286;48681;46406;44630;44473;42743;40953;39180;37677;35888;34032;32150;30276;28443;26606;24815;23079;21394;19722;18094;16492;14898;13364;11887;10468;9123;8390;6757;5859;5033;4276;3600;2994;2446;1943;1507;1146;866;654;500;390;313;257;222;192;172;141;104;223
