2013-02-01;;;;;;;;4,2;5,1;;;87,8;98,8;;38,7;;;;;;;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-03-01;;;;;;;;1,0;20,400000000000002;;;95,8;;;58,0;;;;;;;;;;;1,2000000000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-04-01;;;;;;;;0,30000000000000004;92,7;;;76,3;32,9;;19,7;;;;;;;;;;;1,4000000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-05-01;;;;;;;;0,2;51,400000000000006;;;118,1;;;60,9;;;;;;;;;;;24,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-06-01;;;;;;;;74,7;31,2;;;84,9;27,2;;46,9;;;;;;37,2;;;;;47,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-07-01;;;;;;;;40,5;12,5;;;45,2;50,900000000000006;;7,5;;;;;;13,4;;;;;4,6000000000000005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-08-01;;;;;;;;49,800000000000004;77,8;;;85,9;34,1;;45,6;;;;;;60,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-09-01;;;;;;;;32,1;52,800000000000004;;;92,7;;;47,800000000000004;;;;;;32,9;;;;;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-10-01;;;;;;;;44,7;48,2;;;113,9;;;42,4;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-11-01;;;;;;;;42,7;5,1000000000000005;;;119,8;;;76,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-12-01;;;;;;;;76,5;25,0;;;88,8;;;18,400000000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-01-01;;;;;;;;8,4;27,5;;;123,3;;;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-02-01;;;;;;;;1,9;9,200000000000001;;;84,0;;;20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-01;;;;;;;;18,4;7,0;;;;;;28,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-04-01;;;;;;;;7,1000000000000005;68,7;;;;;;23,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-05-01;;;;;;;;40,4;47,0;;;;;;68,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-06-01;;;;;;;;17,1;32,6;;;;;;33,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-07-01;;;;;;;;;38,2;;;;;;27,1;5,01;;;;;16,5;;;;22,5;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-08-01;;;;;;;;;54,199999999999996;;;;;;54,300000000000004;1,1300000000000001;;;;;;;;;15,100000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-09-01;;;;;;;;;53,7;;;;;;55,5;2,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-10-01;;;;;;;;;52,0;;;;;;53,5;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-11-01;;;;;;;;43,3;49,300000000000004;;;;;;27,3;0,32;;;;;42,1;;;;;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-12-01;;;;;;;;59,1;31,0;;;;;;15,6;0,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-01-01;;;;;;;;18,3;4,5;;;;;;12,9;0,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-02-01;;;;;;;;2,3;10,9;;;;;;29,1;0,8200000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-03-01;;;;;;;;10,6;5,7;;;;;;11,0;1,6600000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
